city,intensity,income,mean,count
1,1,1,111.45,467233
1,2,1,184.45,446829
1,3,1,206.61,298352
1,1,2,64.31,1023824
1,2,2,125.02,569500
1,3,2,165.8,268127
1,1,3,46.91,1799105
1,2,3,85.68,645989
1,3,3,137.05,223967
2,1,1,64.12,180105
2,2,1,81.13,146403
2,3,1,102.01,86154
2,1,2,44.74,246513
2,2,2,58.28,135169
2,3,2,90.04,46592
2,1,3,32.17,312005
2,2,3,40.24,173351
2,3,3,68.76,35122
3,1,1,51.38,307387
3,2,1,81.56,216614
3,3,1,104.66,81581
3,1,2,33.3,432246
3,2,2,62.62,195631
3,3,2,97.92,64800
3,1,3,30.38,478977
3,2,3,50.95,177637
3,3,3,79.52,38912
4,1,1,21.64,51940
4,2,1,32.83,117916
4,3,1,46.55,42532
4,1,2,15.91,92837
4,2,2,26.9,149481
4,3,2,42.61,36083
4,1,3,14.09,123271
4,2,3,23.92,138862
4,3,3,43.68,26249
5,1,1,21.35,152522
5,2,1,29.05,166152
5,3,1,40.65,101074
5,1,2,12.34,250659
5,2,2,21.01,156817
5,3,2,29.6,44617
5,1,3,8.41,417190
5,2,3,16.74,168670
5,3,3,28.55,41306
6,1,1,28.87,158515
6,2,1,44.96,143591
6,3,1,64.85,74867
6,1,2,19.36,312941
6,2,2,31.52,152118
6,3,2,49.45,57110
6,1,3,20.32,421810
6,2,3,33.31,154539
6,3,3,62.44,57625
7,1,1,22.33,158859
7,2,1,30.39,98135
7,3,1,37.86,36315
7,1,2,17.87,248215
7,2,2,26.21,136505
7,3,2,41.19,36503
7,1,3,14.48,300858
7,2,3,20.13,138408
7,3,3,32.02,39089
8,1,1,103.66,64277
8,2,1,122.99,77807
8,3,1,144.11,38400
8,1,2,61.28,166705
8,2,2,83.91,114436
8,3,2,108.27,45008
8,1,3,27.88,343062
8,2,3,47.11,109536
8,3,3,80.64,32124
9,1,1,51.92,76924
9,2,1,95.33,114101
9,3,1,174.55,83624
9,1,2,49.62,86499
9,2,2,59.35,150170
9,3,2,84.72,51555
9,1,3,31.81,162962
9,2,3,46.57,181218
9,3,3,86.16,41538
10,1,1,44.27,147355
10,2,1,56.67,529285
10,3,1,76.64,331229
10,1,2,36.25,318566
10,2,2,46.4,741114
10,3,2,64.67,252111
10,1,3,23.76,792949
10,2,3,34.98,915200
10,3,3,60.81,175275