city,VALUE,COUNT,LANDCOVER_,HMI_RASTER,AREA,MEAN,ID,intensity,income,other,other percent
chicago,8,467233,22,1,420509700,111.45,122,1,1,1000,8
chicago,7,446829,23,1,402146100,184.45,123,2,1,2000,8
chicago,9,298352,24,1,268516800,206.61,124,3,1,3000,5
chicago,1,1023824,22,2,921441600,64.31,222,1,2,4000,18
chicago,2,569500,23,2,512550000,125.02,223,2,2,5000,10
chicago,3,268127,24,2,241314300,165.8,224,3,2,6000,5
chicago,4,1799105,22,3,1619194500,46.91,322,1,3,7000,31
chicago,5,645989,23,3,581390100,85.68,323,2,3,8000,11
chicago,6,223967,24,3,201570300,137.05,324,3,3,9000,4
denver,8,180105,22,1,162094500,64.12,122,1,1,1000,13
denver,7,146403,23,1,131762700,81.13,123,2,1,2000,11
denver,9,86154,24,1,77538600,102.01,124,3,1,3000,6
denver,1,246513,22,2,221861700,44.74,222,1,2,4000,18
denver,2,135169,23,2,121652100,58.28,223,2,2,5000,10
denver,3,46592,24,2,41932800,90.04,224,3,2,6000,3
denver,4,312005,22,3,280804500,32.17,322,1,3,7000,23
denver,5,173351,23,3,156015900,40.24,323,2,3,8000,13
denver,6,35122,24,3,31609800,68.76,324,3,3,9000,3
washington,8,307387,22,1,276648300,51.38,122,1,1,1000,15
washington,7,216614,23,1,194952600,81.56,123,2,1,2000,11
washington,9,81581,24,1,73422900,104.66,124,3,1,3000,4
washington,1,432246,22,2,389021400,33.3,222,1,2,4000,22
washington,2,195631,23,2,176067900,62.62,223,2,2,5000,10
washington,3,64800,24,2,58320000,97.92,224,3,2,6000,3
washington,4,478977,22,3,431079300,30.38,322,1,3,7000,24
washington,5,177637,23,3,159873300,50.95,323,2,3,8000,9
washington,6,38912,24,3,35020800,79.52,324,3,3,9000,2
sanJose,8,51940,22,1,46746000,21.64,122,1,1,1000,7
sanJose,7,117916,23,1,106124400,32.83,123,2,1,2000,15
sanJose,9,42532,24,1,38278800,46.55,124,3,1,3000,5
sanJose,1,92837,22,2,83553300,15.91,222,1,2,4000,12
sanJose,2,149481,23,2,134532900,26.9,223,2,2,5000,19
sanJose,3,36083,24,2,32474700,42.61,224,3,2,6000,5
sanJose,4,123271,22,3,110943900,14.09,322,1,3,7000,16
sanJose,5,138862,23,3,124975800,23.92,323,2,3,8000,18
sanJose,6,26249,24,3,23624100,43.68,324,3,3,9000,3
portland,8,152522,22,1,137269800,21.35,122,1,1,1000,10
portland,7,166152,23,1,149536800,29.05,123,2,1,2000,11
portland,9,101074,24,1,90966600,40.65,124,3,1,3000,7
portland,1,250659,22,2,225593100,12.34,222,1,2,4000,17
portland,2,156817,23,2,141135300,21.01,223,2,2,5000,10
portland,3,44617,24,2,40155300,29.6,224,3,2,6000,3
portland,4,417190,22,3,375471000,8.41,322,1,3,7000,28
portland,5,168670,23,3,151803000,16.74,323,2,3,8000,11
portland,6,41306,24,3,37175400,28.55,324,3,3,9000,3
pittsburg,8,158515,22,1,142663500,28.87,122,1,1,1000,10
pittsburg,7,143591,23,1,129231900,44.96,123,2,1,2000,9
pittsburg,9,74867,24,1,67380300,64.85,124,3,1,3000,5
pittsburg,1,312941,22,2,281646900,19.36,222,1,2,4000,20
pittsburg,2,152118,23,2,136906200,31.52,223,2,2,5000,10
pittsburg,3,57110,24,2,51399000,49.45,224,3,2,6000,4
pittsburg,4,421810,22,3,379629000,20.32,322,1,3,7000,28
pittsburg,5,154539,23,3,139085100,33.31,323,2,3,8000,10
pittsburg,6,57625,24,3,51862500,62.44,324,3,3,9000,4
orlando,8,158859,22,1,142973100,22.33,122,1,1,1000,13
orlando,7,98135,23,1,88321500,30.39,123,2,1,2000,8
orlando,9,36315,24,1,32683500,37.86,124,3,1,3000,3
orlando,1,248215,22,2,223393500,17.87,222,1,2,4000,21
orlando,2,136505,23,2,122854500,26.21,223,2,2,5000,11
orlando,3,36503,24,2,32852700,41.19,224,3,2,6000,3
orlando,4,300858,22,3,270772200,14.48,322,1,3,7000,25
orlando,5,138408,23,3,124567200,20.13,323,2,3,8000,12
orlando,6,39089,24,3,35180100,32.02,324,3,3,9000,3
milwaukee,8,64277,22,1,57849300,103.66,122,1,1,1000,6
milwaukee,7,77807,23,1,70026300,122.99,123,2,1,2000,8
milwaukee,9,38400,24,1,34560000,144.11,124,3,1,3000,4
milwaukee,1,166705,22,2,150034500,61.28,222,1,2,4000,17
milwaukee,2,114436,23,2,102992400,83.91,223,2,2,5000,12
milwaukee,3,45008,24,2,40507200,108.27,224,3,2,6000,5
milwaukee,4,343062,22,3,308755800,27.88,322,1,3,7000,35
milwaukee,5,109536,23,3,98582400,47.11,323,2,3,8000,11
milwaukee,6,32124,24,3,28911600,80.64,324,3,3,9000,3
lasVegas,8,76924,22,1,69231600,51.92,122,1,1,1000,8
lasVegas,7,114101,23,1,102690900,95.33,123,2,1,2000,12
lasVegas,9,83624,24,1,75261600,174.55,124,3,1,3000,9
lasVegas,1,86499,22,2,77849100,49.62,222,1,2,4000,9
lasVegas,2,150170,23,2,135153000,59.35,223,2,2,5000,16
lasVegas,3,51555,24,2,46399500,84.72,224,3,2,6000,5
lasVegas,4,162962,22,3,146665800,31.81,322,1,3,7000,17
lasVegas,5,181218,23,3,163096200,46.57,323,2,3,8000,19
lasVegas,6,41538,24,3,37384200,86.16,324,3,3,9000,4
LA,8,147355,22,1,132619500,44.27,122,1,1,1000,4
LA,7,529285,23,1,476356500,56.67,123,2,1,2000,13
LA,9,331229,24,1,298106100,76.64,124,3,1,3000,8
LA,1,318566,22,2,286709400,36.25,222,1,2,4000,8
LA,2,741114,23,2,667002600,46.4,223,2,2,5000,18
LA,3,252111,24,2,226899900,64.67,224,3,2,6000,6
LA,4,792949,22,3,713654100,23.76,322,1,3,7000,19
LA,5,915200,23,3,823680000,34.98,323,2,3,8000,22
LA,6,175275,24,3,157747500,60.81,324,3,3,9000,4